corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,test_year
14880.0,18094.2857,291.0,2923.2857,0.2759,0.0289,6123.8571,8756.1429,0.7241,0.9607,0.8476,Jan,2014
7701.3333,9096.0,127.3333,1267.3333,0.2804,0.0276,3280.6667,4420.6667,0.7196,0.9618,0.846,Feb,2014
4554.4286,5348.5714,72.1429,722.0,0.2645,0.0266,1952.2857,2602.1429,0.7355,0.9645,0.8545,Mar,2014
10956.4,13378.8,78.4,2344.0,0.3282,0.0122,4345.4,6611.0,0.6718,0.9821,0.8298,Apr,2014
9167.8333,12622.6667,101.3333,3353.5,0.3669,0.0167,2957.8333,6210.0,0.6331,0.9579,0.8082,May,2014
26892.2,34077.6,520.8,6664.6,0.2907,0.0293,10374.2,16518.0,0.7093,0.9588,0.84,Jun,2014
10748.7143,12678.0,102.7143,1826.5714,0.2805,0.0164,4512.4286,6236.2857,0.7195,0.9776,0.8515,Jul,2014
8101.0,9465.3333,74.6667,1289.6667,0.2671,0.0159,3443.0,4658.0,0.7329,0.9781,0.8585,Aug,2014
9729.0,12491.0,92.3333,2669.6667,0.3866,0.0161,3575.8333,6153.1667,0.6134,0.9727,0.7986,Sep,2014
23498.6667,38751.3333,380.0,14872.6667,0.3736,0.0194,4503.0,18995.6667,0.6264,0.9438,0.8035,Oct,2014
53467.8333,85221.3333,926.1667,30827.3333,0.5812,0.0211,11783.3333,41684.5,0.4188,0.8737,0.6988,Nov,2014
26665.8333,39245.6667,1096.6667,11483.1667,0.5255,0.0982,8139.6667,18526.1667,0.4745,0.8621,0.6881,Dec,2014
