corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,test_year
15094.8571,18094.2857,321.7143,2677.7143,0.2404,0.0355,6369.4286,8725.4286,0.7596,0.9549,0.862,Jan,2014
8126.5,9096.0,195.0,774.5,0.1697,0.0436,3773.5,4353.0,0.8303,0.9493,0.8933,Feb,2014
4781.4286,5348.5714,92.7143,474.4286,0.1878,0.0338,2199.8571,2581.5714,0.8122,0.9592,0.8892,Mar,2014
11398.4,13378.8,124.4,1856.0,0.2607,0.0193,4833.4,6565.0,0.7393,0.9741,0.86,Apr,2014
9190.0,12622.6667,141.1667,3291.5,0.3523,0.0221,3019.8333,6170.1667,0.6477,0.9425,0.8128,May,2014
25383.6,34077.6,584.2,8109.8,0.3633,0.0328,8929.0,16454.6,0.6367,0.9479,0.8019,Jun,2014
10742.2857,12678.0,159.4286,1776.2857,0.2711,0.0251,4562.7143,6179.5714,0.7289,0.9666,0.8519,Jul,2014
8030.0,9465.3333,119.8333,1315.5,0.2685,0.0255,3417.1667,4612.8333,0.7315,0.9657,0.853,Aug,2014
10265.1667,12491.0,126.5,2099.3333,0.3369,0.0212,4146.1667,6119.0,0.6631,0.968,0.8209,Sep,2014
35962.0,38751.3333,505.1667,2284.1667,0.248,0.026,17091.5,18870.5,0.752,0.9648,0.863,Oct,2014
78260.1667,85221.3333,1287.3333,5673.8333,0.2239,0.0291,36936.8333,41323.3333,0.7761,0.9597,0.8735,Nov,2014
34085.0,39245.6667,1418.8333,3741.8333,0.3105,0.1244,15881.0,18204.0,0.6895,0.8759,0.7825,Dec,2014
