corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15367.7143,18094.2857,418.8571,2307.7143,0.1491,0.0426,6739.4286,8628.2857,0.8509,0.9511,0.9042,01,2014
8126.0,9096.0,221.5,748.5,0.1492,0.051,3799.5,4326.5,0.8508,0.9428,0.8999,02,2014
4852.2857,5348.5714,108.8571,387.4286,0.1338,0.0397,2286.8571,2565.4286,0.8662,0.9559,0.9132,03,2014
11232.6,13378.8,130.8,2015.4,0.2637,0.0203,4674.0,6558.6,0.7363,0.9726,0.858,04,2014
9322.6667,12622.6667,154.8333,3145.1667,0.3179,0.0251,3166.1667,6156.5,0.6821,0.9402,0.8285,05,2014
21248.6,34077.6,511.6,12317.4,0.5165,0.0315,4721.4,16527.2,0.4835,0.8979,0.726,06,2014
10784.0,12678.0,180.8571,1713.1429,0.236,0.0283,4625.8571,6158.1429,0.764,0.959,0.8679,07,2014
8590.0,9465.3333,112.6667,762.6667,0.156,0.024,3970.0,4620.0,0.844,0.9722,0.91,08,2014
10944.5,12491.0,144.0,1402.5,0.2457,0.0244,4843.0,6101.5,0.7543,0.9673,0.8649,09,2014
36998.0,38751.3333,545.6667,1207.6667,0.178,0.0297,18168.0,18830.0,0.822,0.9636,0.8962,10,2014
82572.0,85221.3333,1543.3333,1106.0,0.0462,0.0354,41504.6667,41067.3333,0.9538,0.9644,0.9592,11,2014
35963.0,39245.6667,1627.0,1655.6667,0.1213,0.1417,17967.1667,17995.8333,0.8787,0.8931,0.8685,12,2014
