corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15818.2857,18094.2857,332.5714,1943.4286,0.0787,0.0335,7103.7143,8714.5714,0.9213,0.964,0.9439,01,2014
8244.1667,9096.0,191.3333,660.5,0.1274,0.0443,3887.5,4356.6667,0.8726,0.9511,0.9142,02,2014
4977.7143,5348.5714,89.0,281.8571,0.0931,0.032,2392.4286,2585.2857,0.9069,0.9655,0.9374,03,2014
11299.6,13378.8,84.8,1994.4,0.2505,0.0132,4695.0,6604.6,0.7495,0.982,0.8681,04,2014
9575.6667,12622.6667,119.6667,2927.3333,0.266,0.0195,3384.0,6191.6667,0.734,0.9536,0.8572,05,2014
21794.0,34077.6,413.2,11870.4,0.4622,0.0259,5168.4,16625.6,0.5378,0.932,0.756,06,2014
11057.4286,12678.0,135.8571,1484.7143,0.2006,0.0215,4854.2857,6203.1429,0.7994,0.9717,0.8889,07,2014
8743.6667,9465.3333,95.5,626.1667,0.1205,0.0203,4106.5,4637.1667,0.8795,0.9773,0.9296,08,2014
11069.6667,12491.0,116.3333,1305.0,0.2151,0.0211,4940.5,6129.1667,0.7849,0.9728,0.8819,09,2014
37227.0,38751.3333,461.0,1063.3333,0.1422,0.025,18312.3333,18914.6667,0.8578,0.9707,0.9164,10,2014
79832.5,85221.3333,1353.6667,4035.1667,0.1461,0.0307,38575.5,41257.0,0.8539,0.9603,0.9116,11,2014
36287.0,39245.6667,1502.8333,1455.8333,0.1083,0.1325,18167.0,18120.0,0.8917,0.9,0.8796,12,2014
