corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
16142.7143,18094.2857,84.7143,1866.8571,0.0666,0.0098,7180.2857,8962.4286,0.9334,0.9895,0.9618,01,2014
8053.1667,9096.0,146.6667,896.1667,0.1777,0.0341,3651.8333,4401.3333,0.8223,0.9592,0.8941,02,2014
4773.7143,5348.5714,75.1429,499.7143,0.1859,0.0271,2174.5714,2599.1429,0.8141,0.967,0.8935,03,2014
10703.6,13378.8,75.2,2600.0,0.3435,0.0117,4089.4,6614.2,0.6565,0.9811,0.8224,04,2014
9474.1667,12622.6667,100.8333,3047.6667,0.2871,0.0162,3263.6667,6210.5,0.7129,0.9549,0.8484,05,2014
21677.4,34077.6,356.6,12043.6,0.4795,0.0209,4995.2,16682.2,0.5205,0.9395,0.7498,06,2014
10608.1429,12678.0,110.5714,1959.2857,0.2782,0.0174,4379.7143,6228.4286,0.7218,0.9742,0.8522,07,2014
8323.6667,9465.3333,81.5,1060.1667,0.2119,0.0175,3672.5,4651.1667,0.7881,0.9781,0.8853,08,2014
10614.0,12491.0,86.5,1790.5,0.2768,0.0158,4455.0,6159.0,0.7232,0.9779,0.8537,09,2014
23769.0,38751.3333,365.1667,14617.1667,0.3418,0.0189,4758.5,19010.5,0.6582,0.9485,0.8196,10,2014
55305.0,85221.3333,964.6667,28951.6667,0.5315,0.0221,13659.0,41646.0,0.4685,0.8765,0.7232,11,2014
28306.6667,39245.6667,1261.6667,9677.3333,0.4057,0.1131,9945.5,18361.1667,0.5943,0.8711,0.7406,12,2014
