corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15884.4286,18094.2857,291.0,1918.8571,0.0742,0.0296,7128.2857,8756.1429,0.9258,0.9683,0.9481,01,2014
8247.6667,9096.0,188.3333,660.0,0.1279,0.0437,3888.0,4359.6667,0.8721,0.9516,0.9142,02,2014
4979.0,5348.5714,87.8571,281.7143,0.0933,0.0316,2392.5714,2586.4286,0.9067,0.966,0.9376,03,2014
11293.0,13378.8,86.6,1999.2,0.2516,0.0135,4690.2,6602.8,0.7484,0.9816,0.8674,04,2014
9569.3333,12622.6667,116.5,2936.8333,0.2679,0.0188,3374.5,6194.8333,0.7321,0.9544,0.8567,05,2014
21773.8,34077.6,409.4,11894.4,0.4637,0.0255,5144.4,16629.4,0.5363,0.9324,0.7554,06,2014
11046.7143,12678.0,133.8571,1497.4286,0.2025,0.0213,4841.5714,6205.1429,0.7975,0.9721,0.8881,07,2014
8736.8333,9465.3333,95.5,633.0,0.1223,0.0204,4099.6667,4637.1667,0.8777,0.9772,0.9287,08,2014
11072.5,12491.0,114.5,1304.0,0.2176,0.0208,4941.5,6131.0,0.7824,0.973,0.8808,09,2014
37234.5,38751.3333,456.3333,1060.5,0.1448,0.0246,18315.1667,18919.3333,0.8552,0.9711,0.9153,10,2014
79826.1667,85221.3333,1339.1667,4056.0,0.1472,0.0303,38554.6667,41271.5,0.8528,0.9605,0.9112,11,2014
36281.3333,39245.6667,1488.8333,1475.5,0.1085,0.1315,18147.3333,18134.0,0.8915,0.9006,0.88,12,2014
