clf,time_elapsed,type,month
RandomForestClassifier,17.255848246000824,train,01
GradientBoostingClassifier,52.38196671298647,train,01
AdaBoostClassifier,11.933198252998409,train,01
Ensemble,77.46859525100444,train,01
GradientBoostingClassifier,1081.215445955997,test,01
GradientBoostingClassifier,626.2593421939964,test,02
GradientBoostingClassifier,358.26348087099905,test,03
AdaBoostClassifier,3023.9926258460036,test,01
GradientBoostingClassifier,976.0179105670104,test,04
RandomForestClassifier,3728.653294874006,test,01
GradientBoostingClassifier,747.2972409610084,test,05
AdaBoostClassifier,1550.5789689139929,test,02
AdaBoostClassifier,899.679211559007,test,03
GradientBoostingClassifier,1747.9346265249915,test,06
RandomForestClassifier,1920.8895038900082,test,02
GradientBoostingClassifier,634.0367366889986,test,07
GradientBoostingClassifier,376.84495735898963,test,08
RandomForestClassifier,1228.6315770449874,test,03
GradientBoostingClassifier,651.451288147,test,09
AdaBoostClassifier,2496.569763176987,test,04
GradientBoostingClassifier,1548.4054594470072,test,10
AdaBoostClassifier,1934.8835076459945,test,05
RandomForestClassifier,3296.309977091005,test,04
GradientBoostingClassifier,3627.7207181340054,test,11
RandomForestClassifier,2797.610978069002,test,05
GradientBoostingClassifier,1552.7030165510077,test,12
AdaBoostClassifier,4255.240901275989,test,06
AdaBoostClassifier,1410.8355302790005,test,07
AdaBoostClassifier,1009.8176514539955,test,08
AdaBoostClassifier,1463.0934188179963,test,09
RandomForestClassifier,7235.310247942005,test,06
AdaBoostClassifier,3940.4038395420066,test,10
RandomForestClassifier,3519.020759890991,test,07
RandomForestClassifier,2495.4055028919975,test,08
RandomForestClassifier,3973.7288306639966,test,09
AdaBoostClassifier,10274.991106179004,test,11
AdaBoostClassifier,3585.222240676987,test,12
RandomForestClassifier,7212.96797535599,test,10
RandomForestClassifier,7565.784519070003,test,11
RandomForestClassifier,2825.4406095909944,test,12
Ensemble,2721.1523354999954,test,01
Ensemble,1362.189623725979,test,02
Ensemble,772.4413331629767,test,03
Ensemble,2059.3001806770044,test,04
Ensemble,1711.488049904001,test,05
Ensemble,3927.209838640003,test,06
Ensemble,1914.2330970620096,test,07
Ensemble,1269.8363796279882,test,08
Ensemble,1754.441827202012,test,09
Ensemble,4927.950920421019,test,10
Ensemble,13517.541393930005,test,11
Ensemble,5353.682317998988,test,12
