corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15367.7143,18094.2857,418.8571,2307.7143,0.1491,0.0426,6739.4286,8628.2857,0.8509,0.9511,0.9042,01,2014
8126.0,9096.0,221.5,748.5,0.1492,0.051,3799.5,4326.5,0.8508,0.9428,0.8999,02,2014
4996.5714,5348.5714,106.1429,245.8571,0.0801,0.0387,2428.4286,2568.1429,0.9199,0.9594,0.9406,03,2014
12124.6,13378.8,108.6,1145.6,0.1532,0.0171,5543.8,6580.8,0.8468,0.9803,0.9149,04,2014
11850.3333,12622.6667,223.5,548.8333,0.0898,0.0358,5762.5,6087.8333,0.9102,0.9621,0.9372,05,2014
30375.0,34077.6,1114.2,2588.4,0.1021,0.06,14450.4,15924.6,0.8979,0.9362,0.919,06,2014
11862.0,12678.0,197.1429,618.8571,0.1057,0.0306,5720.1429,6141.8571,0.8943,0.9666,0.9319,07,2014
8991.0,9465.3333,136.1667,338.1667,0.0672,0.0287,4394.5,4596.5,0.9328,0.9702,0.9521,08,2014
12001.5,12491.0,189.5,300.0,0.0618,0.032,5945.5,6056.0,0.9382,0.967,0.9531,09,2014
37515.5,38751.3333,760.1667,475.6667,0.075,0.0426,18900.0,18615.5,0.925,0.9556,0.9412,10,2014
82966.3333,85221.3333,1681.8333,573.1667,0.0244,0.0387,42037.5,40928.8333,0.9756,0.9619,0.9685,11,2014
36123.8333,39245.6667,1283.1667,1838.6667,0.1274,0.1122,17784.1667,18339.6667,0.8726,0.9103,0.8802,12,2014
