corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15818.2857,18094.2857,332.5714,1943.4286,0.0787,0.0335,7103.7143,8714.5714,0.9213,0.964,0.9439,01,2014
8244.1667,9096.0,191.3333,660.5,0.1274,0.0443,3887.5,4356.6667,0.8726,0.9511,0.9142,02,2014
5030.8571,5348.5714,111.7143,206.0,0.0674,0.0405,2468.2857,2562.5714,0.9326,0.9581,0.9461,03,2014
11968.2,13378.8,102.0,1308.6,0.1649,0.0164,5380.8,6587.4,0.8351,0.9808,0.9093,04,2014
11944.0,12622.6667,261.8333,416.8333,0.0593,0.0423,5894.5,6049.5,0.9407,0.9569,0.9492,05,2014
31683.4,34077.6,1197.6,1196.6,0.0388,0.0663,15842.2,15841.2,0.9612,0.9352,0.9474,06,2014
12119.8571,12678.0,166.7143,391.4286,0.0672,0.026,5947.5714,6172.2857,0.9328,0.9729,0.9534,07,2014
9181.5,9465.3333,168.5,115.3333,0.0242,0.0356,4617.3333,4564.1667,0.9758,0.9649,0.9701,08,2014
11816.6667,12491.0,185.6667,488.6667,0.0526,0.0323,5756.8333,6059.8333,0.9474,0.9671,0.9575,09,2014
37525.5,38751.3333,681.8333,544.0,0.0439,0.0381,18831.6667,18693.8333,0.9561,0.9615,0.959,10,2014
83174.3333,85221.3333,1724.8333,322.1667,0.0119,0.0398,42288.5,40885.8333,0.9881,0.9613,0.9741,11,2014
36640.5,39245.6667,1343.3333,1261.8333,0.0867,0.1181,18361.0,18279.5,0.9133,0.9092,0.8976,12,2014
