corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
16142.4286,18094.2857,84.5714,1867.2857,0.0666,0.0098,7179.8571,8962.5714,0.9334,0.9895,0.9618,01,2014
8059.0,9096.0,145.5,891.5,0.1772,0.0339,3656.5,4402.5,0.8228,0.9594,0.8944,02,2014
5000.8571,5348.5714,100.0,247.7143,0.0803,0.0364,2426.5714,2574.2857,0.9197,0.9616,0.9416,03,2014
11695.0,13378.8,96.8,1587.0,0.2089,0.0156,5102.4,6592.6,0.7911,0.9806,0.8877,04,2014
11926.1667,12622.6667,235.0,461.5,0.0684,0.0382,5849.8333,6076.3333,0.9316,0.9607,0.9467,05,2014
28873.2,34077.6,854.2,4350.2,0.1502,0.0486,12688.6,16184.6,0.8498,0.9443,0.9006,06,2014
11866.8571,12678.0,155.7143,655.4286,0.11,0.0244,5683.5714,6183.2857,0.89,0.9734,0.9328,07,2014
9030.6667,9465.3333,156.3333,278.3333,0.0531,0.033,4454.3333,4576.3333,0.9469,0.9663,0.957,08,2014
11633.1667,12491.0,167.6667,690.1667,0.0876,0.0295,5555.3333,6077.8333,0.9124,0.9685,0.9414,09,2014
24811.3333,38751.3333,631.0,13309.0,0.1976,0.0349,6066.6667,18744.6667,0.8024,0.9345,0.8837,10,2014
83272.3333,85221.3333,1512.6667,436.3333,0.0162,0.0347,42174.3333,41098.0,0.9838,0.966,0.9746,11,2014
35937.5,39245.6667,1172.5,2135.6667,0.1884,0.1051,17487.1667,18450.3333,0.8116,0.9037,0.8532,12,2014
