corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15884.4286,18094.2857,290.8571,1919.0,0.0742,0.0295,7128.1429,8756.2857,0.9258,0.9683,0.9482,01,2014
8249.0,9096.0,187.1667,659.8333,0.1277,0.0434,3888.1667,4360.8333,0.8723,0.952,0.9145,02,2014
5005.4286,5348.5714,107.0,236.1429,0.0756,0.0388,2438.1429,2567.2857,0.9244,0.9594,0.9428,03,2014
11968.2,13378.8,98.8,1311.8,0.1648,0.0159,5377.6,6590.6,0.8352,0.9814,0.9097,04,2014
11946.3333,12622.6667,261.0,415.3333,0.0588,0.0421,5896.0,6050.3333,0.9412,0.9571,0.9495,05,2014
31330.6,34077.6,1097.4,1649.6,0.0542,0.0602,15389.2,15941.4,0.9458,0.9396,0.9428,06,2014
12112.0,12678.0,169.0,397.0,0.0686,0.0264,5942.0,6170.0,0.9314,0.9724,0.9525,07,2014
9042.3333,9465.3333,163.3333,259.6667,0.0501,0.0344,4473.0,4569.3333,0.9499,0.965,0.9577,08,2014
11803.5,12491.0,185.5,502.0,0.0531,0.0323,5743.5,6060.0,0.9469,0.9671,0.9573,09,2014
37549.6667,38751.3333,692.0,509.6667,0.0448,0.0387,18866.0,18683.6667,0.9552,0.9608,0.9582,10,2014
83167.5,85221.3333,1712.3333,341.5,0.0127,0.0394,42269.1667,40898.3333,0.9873,0.9617,0.974,11,2014
36522.6667,39245.6667,1312.3333,1410.6667,0.1004,0.1152,18212.1667,18310.5,0.8996,0.9102,0.8922,12,2014
