fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,test_year
398.4286,1897.2857,6659.7143,8115.5714,0.0813,0.0438,1023.2857,0.0804,Jan,2014
212.5,314.3333,4006.1667,4130.0,0.0711,0.0502,433.0,0.0482,Feb,2014
102.5714,71.0,2451.8571,2451.0,0.0275,0.0393,272.1429,0.0487,Mar,2014
109.6,261.4,5421.0,6325.6,0.0436,0.0177,1261.2,0.0873,Apr,2014
137.1667,547.0,3347.3333,5950.8333,0.1551,0.0226,2640.3333,0.1188,May,2014
630.6,878.2,11470.0,15567.6,0.052,0.0368,5531.2,0.1117,Jun,2014
160.4286,181.2857,5179.0,5920.2857,0.0363,0.026,1237.0,0.0919,Jul,2014
108.6667,248.8333,4043.5,4436.8333,0.0541,0.0241,627.5,0.0671,Aug,2014
118.6667,340.8333,4682.1667,5901.1667,0.0506,0.0215,1448.1667,0.1218,Sep,2014
480.3333,398.0,18028.1667,18108.5,0.0708,0.0264,1736.3333,0.0668,Oct,2014
1332.0,484.0,38226.6667,39362.3333,0.027,0.0317,5816.3333,0.0913,Nov,2014
1523.5,773.6667,17492.0,17024.8333,0.0778,0.1672,2431.6667,0.0924,Dec,2014
