fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,test_year
126.1429,2439.2857,5595.7143,8649.4286,0.2301,0.0143,1283.7143,0.0869,Jan,2014
100.1667,553.3333,3087.3333,4322.8333,0.1554,0.0233,1032.3333,0.1143,Feb,2014
48.4286,321.4286,1810.0,2565.4286,0.1588,0.0185,603.2857,0.1114,Mar,2014
51.4,1387.6,3527.8,6549.4,0.2597,0.0081,1862.6,0.1398,Apr,2014
61.3333,2949.8333,2429.3333,6149.8333,0.333,0.0101,1032.3333,0.1061,May,2014
250.8,7354.6,5018.4,16375.8,0.4267,0.0162,5078.0,0.1338,Jun,2014
79.8571,1264.0,3646.2857,6151.5714,0.2504,0.013,1536.2857,0.1194,Jul,2014
58.8333,870.8333,2999.3333,4604.0,0.2252,0.0127,932.3333,0.1009,Aug,2014
56.6667,1250.1667,3010.5,6100.3333,0.329,0.0099,2073.3333,0.1477,Sep,2014
258.3333,1535.8333,3675.3333,18827.3333,0.2765,0.0121,14454.5,0.1678,Oct,2014
609.5,1604.8333,12595.5,41147.1667,0.2398,0.014,29264.3333,0.2708,Nov,2014
905.1667,2374.3333,8748.6667,18045.5,0.3029,0.102,9172.0,0.1731,Dec,2014
