fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
128,1446,6950,8840,0.17222486898523107,0.014272970561998216,1116,0.06038961038961039,Apr,2014,0
142,362,5222,5525,0.06482808022922636,0.02505734956767249,275,0.02385910116258893,Apr,2014,1
120,88,5273,5781,0.01641484797612386,0.020335536349771224,742,0.061812729090303234,Apr,2014,2
175,780,6293,8346,0.11027852396437156,0.020537495599108085,1710,0.09882108183079057,Apr,2014,3
176,785,6237,8341,0.11179151238963259,0.02066455324644828,1765,0.10199953767914934,Apr,2014,4
167,782,5883,8341,0.11732933233308328,0.019628584861307006,2131,0.12315071659731854,Apr,2014,5
88,263,3304,3595,0.07373142696944211,0.023893565028509367,330,0.04353562005277045,Apr,2014,6
120,272,7127,8734,0.036761724557372616,0.01355319629545968,2227,0.12050865800865801,Apr,2014,0
120,167,4985,5417,0.03241459627329193,0.021672385768466678,837,0.07261842790213431,Apr,2014,1
92,92,5699,5663,0.015886720773614228,0.015986099044309296,458,0.038153948683772074,Apr,2014,2
141,658,6058,8263,0.09797498511018464,0.01677772489290814,2184,0.1262135922330097,Apr,2014,3
141,658,6058,8263,0.09797498511018464,0.01677772489290814,2184,0.1262135922330097,Apr,2014,4
141,658,6058,8263,0.09797498511018464,0.01677772489290814,2184,0.1262135922330097,Apr,2014,5
75,118,3236,3551,0.035181872391174714,0.020683949255377827,600,0.079155672823219,Apr,2014,6
193,1079,4361,5229,0.1983455882352941,0.03559572113611213,146,0.013263081395348836,Apr,2014,0
205,645,8233,8883,0.07265149808515431,0.022557218309859156,514,0.027813852813852815,Apr,2014,1
193,323,5110,5276,0.059451500092030186,0.0352898153227281,106,0.009629360465116279,Apr,2014,2
211,128,5718,5733,0.02189531303455354,0.035497981157469716,136,0.011403655877913801,Apr,2014,3
124,383,3330,3659,0.10315109076218691,0.032778218345228656,118,0.015497767270816917,Apr,2014,4
128,401,3724,4326,0.09721212121212121,0.028738212842388863,383,0.04273599642936844,Apr,2014,5
145,76,3925,4107,0.0189952511872032,0.03410159924741298,395,0.045675300647548565,Apr,2014,6
134,276,8170,8818,0.0326781908595785,0.014968722073279714,1082,0.05854978354978355,Apr,2014,0
135,169,4950,5435,0.033014260597773,0.02423698384201077,837,0.07261842790213431,Apr,2014,1
112,79,5671,5786,0.013739130434782608,0.018989487962021025,356,0.029656781072975674,Apr,2014,2
161,712,6622,8354,0.09708208344695937,0.018907809747504403,1455,0.08408460471567268,Apr,2014,3
162,706,6630,8354,0.09623773173391494,0.01902301550023485,1452,0.0839112343966713,Apr,2014,4
164,707,6670,8352,0.09583841670055578,0.01925786754344763,1411,0.08154184003698567,Apr,2014,5
81,129,3207,3633,0.03866906474820144,0.021809369951534735,530,0.06992084432717678,Apr,2014,6
121,1487,7031,8846,0.17457149565625735,0.013493922159027545,995,0.053841991341991344,Apr,2014,0
142,363,4941,5492,0.06843891402714933,0.025204117855875046,588,0.05101509630400833,Apr,2014,1
125,82,5386,5751,0.014996342355523043,0.021272974812797822,660,0.05498167277574142,Apr,2014,2
157,1238,5950,8430,0.17223149693934334,0.018283451729358333,1529,0.08836107258437355,Apr,2014,3
156,1291,5808,8432,0.18185659952105931,0.018164881229622728,1617,0.09344660194174757,Apr,2014,4
160,1267,5011,8345,0.2018158649251354,0.0188124632569077,2521,0.14568885806749884,Apr,2014,5
86,267,3271,3598,0.07546636517806671,0.023344191096634093,358,0.04722955145118733,Apr,2014,6
