fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
91,23,3019,2958,0.007560815253122946,0.029845851098720892,19,0.003109656301145663,Aug,2014,0
199,342,6176,6307,0.05247008284749923,0.030587150322778974,62,0.004737887819043252,Aug,2014,1
802,5,5819,5022,0.0008585164835164835,0.13770604395604397,0,0.0,Aug,2014,2
127,518,4062,4423,0.1131004366812227,0.02791208791208791,42,0.004579153946794592,Aug,2014,3
84,49,3006,2971,0.016039279869067103,0.027495908346972176,0,0.0,Aug,2014,4
192,41,5042,4892,0.008066102695258705,0.03776553894571204,1,9.83477576711251e-05,Aug,2014,5
123,58,3237,3181,0.017602427921092564,0.03722760290556901,9,0.0013619854721549636,Aug,2014,6
66,31,2894,2882,0.0105982905982906,0.022388059701492536,237,0.03878887070376432,Aug,2014,0
136,580,5591,6148,0.0939880084265111,0.021642266072565246,631,0.04821947119058536,Aug,2014,1
139,66,4850,5444,0.013425549227013833,0.024897008776643383,1149,0.09864354395604395,Aug,2014,2
81,626,3669,4283,0.14575087310826543,0.01856095325389551,513,0.055931094635848236,Aug,2014,3
66,31,2894,2882,0.0105982905982906,0.022388059701492536,237,0.03878887070376432,Aug,2014,4
135,65,4737,4737,0.013536026655560184,0.02770935960591133,494,0.0485837922895358,Aug,2014,5
95,125,2520,3127,0.04725897920604915,0.029484792054624457,741,0.11213680387409201,Aug,2014,6
104,309,2344,2547,0.11647191858273652,0.03923047906450396,6,0.0011299435028248588,Aug,2014,0
299,327,2321,2348,0.12348942598187311,0.11295806573479411,15,0.002824858757062147,Aug,2014,1
497,9,4614,4122,0.001946787800129786,0.10759904741285993,4,0.00043261951113995244,Aug,2014,2
497,9,4614,4122,0.001946787800129786,0.10759904741285993,4,0.00043261951113995244,Aug,2014,3
219,20,5055,4805,0.003940886699507389,0.04359076433121019,69,0.006785995279307632,Aug,2014,4
297,231,7302,7129,0.030665073675826365,0.039994613520064635,115,0.007629030118084118,Aug,2014,5
161,8,4615,4455,0.0017304780445598098,0.03487868284228769,7,0.0007570841444949167,Aug,2014,6
69,30,2900,2915,0.010238907849829351,0.023123324396782843,196,0.032078559738134206,Aug,2014,0
150,580,5662,6244,0.09291893623838514,0.023459493274945262,450,0.0343878954607978,Aug,2014,1
158,80,5585,5526,0.01412180052956752,0.027797325826882477,299,0.025669642857142856,Aug,2014,2
87,631,3722,4335,0.14495750057431656,0.01967435549525102,397,0.04328390754470127,Aug,2014,3
67,33,2875,2915,0.011348005502063274,0.022468142186452045,220,0.03600654664484452,Aug,2014,4
149,114,4826,4802,0.023076923076923078,0.030094930317107655,277,0.02724232887490165,Aug,2014,5
100,132,2586,3125,0.04856512141280353,0.031007751937984496,665,0.10063559322033898,Aug,2014,6
101,40,3006,2908,0.013131976362442548,0.03356596876038551,55,0.00900163666121113,Aug,2014,0
377,368,6155,6103,0.05641575961980684,0.058179012345679015,83,0.006342656273880483,Aug,2014,1
385,15,5809,5376,0.0025755494505494505,0.06682867557715674,63,0.005408653846153846,Aug,2014,2
282,503,4075,4304,0.10987330712101355,0.06149149585695595,8,0.0008722197993894462,Aug,2014,3
150,19,3035,2903,0.006221349050425672,0.049132001310186704,3,0.0004909983633387888,Aug,2014,4
241,21,5060,4841,0.004133044676244833,0.047422274695001966,5,0.0004917387883556255,Aug,2014,5
170,350,2951,3133,0.10602847621932748,0.05146836209506509,4,0.0006053268765133172,Aug,2014,6
