fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
387,116,6184,5912,0.018412698412698412,0.06143832354341959,3,0.00023805745119822252,Dec,2014,0
1765,97,35342,33522,0.002737097547899207,0.05001842038144359,218,0.0030728461885430763,Dec,2014,1
7526,1117,7277,676,0.13307124136287823,0.9175810777859059,210,0.012495537308104248,Dec,2014,2
409,9,6208,5848,0.001447643557986167,0.06536678919610037,128,0.010157117917790826,Dec,2014,3
509,1714,6437,7603,0.2102809471230524,0.0627465483234714,59,0.0036147530939835805,Dec,2014,4
2784,1026,49904,48008,0.02014529746711172,0.05481178138289494,528,0.005163814180929096,Dec,2014,5
424,1093,7170,7802,0.13227641292508774,0.051543885241915874,61,0.0036858006042296072,Dec,2014,6
263,112,5681,5769,0.019333678577593646,0.04360079575596817,777,0.06165687986033963,Dec,2014,0
1204,458,33729,32926,0.013396905256384005,0.035276882508057425,2627,0.037029206134415876,Dec,2014,1
5265,182,6456,1259,0.027417896956914732,0.8070202329858982,3644,0.21682732357491372,Dec,2014,2
263,112,5681,5769,0.019333678577593646,0.04360079575596817,777,0.06165687986033963,Dec,2014,3
343,1981,5064,7497,0.28119233498935414,0.04375,1437,0.08804068128905772,Dec,2014,4
1772,1216,47839,47117,0.024788502701049844,0.03624537216960871,4306,0.04211246943765281,Dec,2014,5
294,693,6183,7581,0.10078534031413612,0.037333333333333336,1799,0.10870090634441087,Dec,2014,6
7381,1126,7269,985,0.13412745681953545,0.8822615347836481,45,0.0026776151374509104,Dec,2014,0
2705,1038,50073,48333,0.020308739801608265,0.05299972569458051,101,0.0009877750611246945,Dec,2014,1
750,841,11448,11540,0.06843518593864431,0.061025223759153785,27,0.0010972933430870519,Dec,2014,2
2250,149,35409,33303,0.004190336914337139,0.06328579866677918,47,0.0006605019815059445,Dec,2014,3
7350,1131,7269,1022,0.13464285714285715,0.8779264214046822,34,0.0020230869927406877,Dec,2014,4
7327,1130,7269,1025,0.1345398261697821,0.8772749042145593,55,0.0032726407235511125,Dec,2014,5
909,56,9279,8427,0.0059989287627209426,0.09736503856041132,9,0.00048179871520342613,Dec,2014,6
334,32,5976,5822,0.005326231691078562,0.05425601039636127,438,0.03475638787494049,Dec,2014,0
1508,251,35022,33278,0.007115924361409577,0.04335077329960329,885,0.012474627875507443,Dec,2014,1
6856,1484,6894,811,0.17713058009071378,0.8942219903482457,761,0.0452814471022254,Dec,2014,2
349,204,5989,5814,0.0329404165993864,0.05662826545513549,246,0.019520710998254247,Dec,2014,3
443,2395,5520,7569,0.3025900189513582,0.05529206190713929,395,0.024200465629212107,Dec,2014,4
2337,1805,49051,47840,0.035492370615070004,0.04657512406082468,1217,0.011902200488997554,Dec,2014,5
379,1052,7162,7735,0.12807401996591186,0.04670939117574562,222,0.013413897280966768,Dec,2014,6
420,12,6287,5873,0.0019050642959199872,0.06674082313681869,10,0.0007935248373274084,Dec,2014,0
1842,181,35281,33585,0.005104055044836727,0.05199424168007452,55,0.0007752593594948129,Dec,2014,1
7352,1122,7280,716,0.13353963342061415,0.9112543381259296,336,0.019992859692966797,Dec,2014,2
412,95,6202,5861,0.015086549150389074,0.06567830384186195,32,0.0025392794794477066,Dec,2014,3
520,1868,6286,7630,0.22909001716948738,0.0638036809815951,18,0.0011028060286729568,Dec,2014,4
2814,1291,49618,48182,0.025358973855310454,0.05518079849399953,345,0.003374083129584352,Dec,2014,5
428,1132,7115,7837,0.1372620346792773,0.05178463399879008,38,0.00229607250755287,Dec,2014,6
