fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
344,813,4341,4909,0.15774155995343422,0.06548638873024938,419,0.03870312211343063,Feb,2014,0
236,159,4161,4337,0.03680555555555556,0.0516072600043735,431,0.04622479622479622,Feb,2014,1
81,122,1116,1187,0.09854604200323101,0.0638801261829653,94,0.036153846153846154,Feb,2014,2
237,20,5825,5505,0.003421727972626176,0.041274817136886105,275,0.023183274321362333,Feb,2014,3
368,907,5819,6425,0.13484983645554566,0.054173413808332106,491,0.0350463954318344,Feb,2014,4
299,853,4092,4891,0.1724974721941355,0.05761078998073218,691,0.06382782191021615,Feb,2014,5
138,25,2858,2785,0.008671522719389525,0.047211768730756075,148,0.024857238831037957,Feb,2014,6
293,802,4310,4850,0.15688575899843504,0.05697063970445265,571,0.05274339552928136,Feb,2014,0
227,131,4208,4275,0.030191288315280018,0.0504220346512661,483,0.0518018018018018,Feb,2014,1
77,120,1114,1163,0.09724473257698542,0.062096774193548386,126,0.04846153846153846,Feb,2014,2
219,23,5823,5432,0.00393431406089634,0.038754202795965316,365,0.03077052773562637,Feb,2014,3
340,735,5820,6373,0.11212814645308924,0.05064799642484731,742,0.0529621698786581,Feb,2014,4
293,802,4310,4850,0.15688575899843504,0.05697063970445265,571,0.05274339552928136,Feb,2014,5
119,75,2762,2687,0.026436376454000706,0.04240912330719886,311,0.052233792408464895,Feb,2014,6
126,55,3527,4419,0.015354550530429927,0.027722772277227723,1349,0.14235964542000845,Feb,2014,0
69,117,1139,1182,0.09315286624203821,0.05515587529976019,93,0.03576923076923077,Feb,2014,1
214,138,4251,4323,0.03144224196855776,0.047167731981485564,398,0.042685542685542685,Feb,2014,2
241,135,6228,6107,0.021216407355021217,0.03796471329552615,577,0.043422636965683326,Feb,2014,3
259,105,6282,6151,0.016439643024894316,0.040405616224648985,491,0.03695063214930765,Feb,2014,4
139,44,2154,2426,0.020018198362147407,0.05419103313840156,531,0.10030222893842085,Feb,2014,5
424,130,9324,8968,0.013750793314998943,0.04514480408858603,666,0.03413284132841329,Feb,2014,6
287,806,4307,4850,0.15763739487580677,0.055869184348841736,576,0.053205246628486975,Feb,2014,0
225,136,4218,4277,0.03123564538355535,0.04997778764993336,468,0.05019305019305019,Feb,2014,1
75,121,1115,1164,0.09789644012944984,0.06053268765133172,125,0.04807692307692308,Feb,2014,2
213,24,5828,5434,0.004101161995898838,0.037719142907738624,363,0.03060192210419828,Feb,2014,3
337,846,5819,6417,0.12693173293323332,0.04989635771394729,591,0.042184154175588864,Feb,2014,4
287,805,4305,4905,0.15753424657534246,0.05527734976887519,524,0.048401995196748565,Feb,2014,5
118,74,2788,2713,0.02585604472396925,0.04168138466972801,261,0.04383607658716829,Feb,2014,6
344,808,4342,4911,0.15689320388349515,0.06546146527117032,421,0.03888786255311288,Feb,2014,0
239,156,4171,4335,0.036052692396579614,0.05225185832968955,423,0.045366795366795366,Feb,2014,1
82,122,1113,1186,0.09878542510121457,0.06466876971608833,97,0.037307692307692306,Feb,2014,2
219,30,5821,5512,0.00512732866176722,0.03821322631303437,280,0.023604788399932557,Feb,2014,3
376,893,5894,6412,0.13157506998673935,0.0553918680023571,435,0.031049250535331904,Feb,2014,4
315,812,4320,4883,0.15822291504286828,0.06060023085802232,496,0.04581562904119712,Feb,2014,5
144,22,2859,2757,0.0076362374175633465,0.04963805584281282,172,0.02888814242526033,Feb,2014,6
