fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
343,40,5663,5488,0.007013852358407856,0.058823529411764705,202,0.017211997273346966,Jul,2014,0
97,70,2990,2933,0.02287581699346405,0.032013201320132016,86,0.013924870466321243,Jul,2014,1
100,313,4552,4997,0.06433710174717369,0.019619383951343928,328,0.031875607385811466,Jul,2014,2
296,118,9259,9123,0.012583982083822118,0.031425841384435715,178,0.009381258564351217,Jul,2014,3
183,276,5462,5571,0.04810038340885326,0.03180396246089677,134,0.011525890246000344,Jul,2014,4
425,58,11080,10672,0.005207398096606213,0.03829863927187528,87,0.0038975002239942658,Jul,2014,5
129,10,3782,3666,0.0026371308016877636,0.03399209486166008,35,0.004591970611388087,Jul,2014,6
243,67,5453,5379,0.01213768115942029,0.0432230522945571,594,0.05061349693251534,Jul,2014,0
75,124,2743,2883,0.04325078479246599,0.02535496957403651,351,0.056832901554404146,Jul,2014,1
71,179,4064,4876,0.04218713174640584,0.014352132605619567,1100,0.10689990281827016,Jul,2014,2
183,207,5844,8928,0.034209221616261776,0.020085610800131708,3812,0.2009065036365553,Jul,2014,3
126,462,4510,5427,0.09292035398230089,0.022690437601296597,1101,0.09470153105109239,Jul,2014,4
333,193,10380,10377,0.018254043317885178,0.031092436974789917,1039,0.04654600842218439,Jul,2014,5
92,37,3259,3572,0.011225728155339806,0.025109170305676855,662,0.08685384413539754,Jul,2014,6
219,472,7111,7422,0.06224449426348411,0.02866117000392619,140,0.009112210361884926,Jul,2014,0
228,294,5427,5551,0.051389617199790245,0.03945319259387437,126,0.01083777739549286,Jul,2014,1
156,157,5837,5833,0.02619285952619286,0.02604775421606278,53,0.004403456297773347,Jul,2014,2
118,833,2526,3259,0.24799047335516522,0.034942256440627775,18,0.0026650873556411016,Jul,2014,3
228,444,5311,5558,0.07715030408340573,0.0394054614586934,85,0.007311199036642009,Jul,2014,4
114,775,2580,3262,0.23099850968703428,0.03376777251184834,23,0.003405389398874741,Jul,2014,5
289,113,9308,9157,0.01199448041609171,0.030594960829980946,107,0.005639295878570675,Jul,2014,6
202,144,5441,5418,0.02578334825425246,0.03594306049822064,531,0.04524539877300614,Jul,2014,0
78,149,2770,2917,0.05104487838300788,0.02604340567612688,262,0.04242227979274611,Jul,2014,1
75,413,4185,4906,0.08982166159199652,0.015057217426219635,711,0.06909620991253644,Jul,2014,2
204,3340,5534,9035,0.3763804372323642,0.02208031172204784,861,0.045377885527564034,Jul,2014,3
139,466,4725,5494,0.08977075707956078,0.024676016332327355,802,0.06898331326337519,Jul,2014,4
360,200,10488,10558,0.0187125748502994,0.03297307199120718,716,0.03207597885494131,Jul,2014,5
104,16,3740,3621,0.004259850905218318,0.02791946308724832,141,0.018499081605877724,Jul,2014,6
332,109,5611,5466,0.019055944055944057,0.057261124525698516,218,0.018575323790047716,Jul,2014,0
117,37,3023,2934,0.012091503267973857,0.038348082595870206,65,0.01052461139896373,Jul,2014,1
132,97,4915,4944,0.019353551476456503,0.026004728132387706,202,0.019630709426627795,Jul,2014,2
326,95,9335,9044,0.01007423117709438,0.03479188900747065,174,0.009170443765152313,Jul,2014,3
227,258,5532,5526,0.04455958549222798,0.039457674256909436,83,0.0071391708240151385,Jul,2014,4
474,43,11100,10572,0.00385892488557839,0.042911461162411735,133,0.005958247468864797,Jul,2014,5
142,16,3795,3637,0.004198373130411965,0.0375760783275999,32,0.004198373130411965,Jul,2014,6
