fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
133,170,3262,3299,0.049533799533799536,0.03875291375291375,44,0.006369426751592357,Jun,2014,0
1366,79,28327,26728,0.002781102583961135,0.04862248166868371,354,0.006226474830266999,Jun,2014,1
1328,90,12190,10806,0.007328990228013029,0.1094445360145047,182,0.007399577167019027,Jun,2014,2
182,103,4700,4581,0.02144493025192588,0.038211211421373084,90,0.009320629660314831,Jun,2014,3
122,161,3262,3285,0.04703476482617587,0.035808629292632815,78,0.01129125651418645,Jun,2014,4
2490,83,35551,33554,0.0023292361228040635,0.06908223282654534,696,0.009616713184292702,Jun,2014,5
126,156,3276,3319,0.045454545454545456,0.036574746008708275,31,0.004487550665894615,Jun,2014,6
90,72,3060,3194,0.022988505747126436,0.027405602923264313,492,0.07122177185871453,Jun,2014,0
798,347,19269,26587,0.01768964110929853,0.029140040167975167,9853,0.17330354944243148,Jun,2014,1
677,384,10979,10991,0.03379389245797765,0.058021940349674325,1565,0.0636282322328834,Jun,2014,2
122,171,4496,4503,0.03664023998285837,0.026378378378378378,364,0.037696768848384424,Jun,2014,3
90,72,3060,3194,0.022988505747126436,0.027405602923264313,492,0.07122177185871453,Jun,2014,4
1466,3417,19546,32563,0.14880459870226015,0.04308090158394311,15382,0.21253488821952635,Jun,2014,5
90,72,3060,3194,0.022988505747126436,0.027405602923264313,492,0.07122177185871453,Jun,2014,6
1726,773,39536,38534,0.0191768587660324,0.042871336313959264,111,0.001375805651958354,Jun,2014,0
173,89,4602,4480,0.018972500532935407,0.03718031377605846,62,0.006591537316606421,Jun,2014,1
1076,108,12168,11174,0.008797653958944282,0.08783673469387755,70,0.002845991218084241,Jun,2014,2
2727,2813,33089,33234,0.07835218093699516,0.07583215149745558,511,0.007060546605134441,Jun,2014,3
937,107,18971,18041,0.005608554355802495,0.04937295816208241,120,0.003143336127409891,Jun,2014,4
191,75,4732,4603,0.015602246723528189,0.03984146850229454,55,0.005695940347970174,Jun,2014,5
81,22,2827,2777,0.007722007722007722,0.02834149755073478,51,0.008857242097950677,Jun,2014,6
97,225,3054,3265,0.0686184812442818,0.028851873884592504,267,0.038650839606253616,Jun,2014,0
908,372,27844,26514,0.01318400907286646,0.03311209977390416,1216,0.021388116931086644,Jun,2014,1
869,370,11688,10975,0.030685022391773096,0.07337048294495103,694,0.02821597007643519,Jun,2014,2
139,210,4476,4489,0.04481434058898848,0.03003457216940363,342,0.035418392709196354,Jun,2014,3
101,237,3068,3206,0.07170953101361574,0.03054127608104022,296,0.042848870874348584,Jun,2014,4
1484,14615,17713,33737,0.4520848799802029,0.04213395417506601,4825,0.06666758780777628,Jun,2014,5
95,226,3069,3252,0.06858877086494689,0.028383627128772036,266,0.038506079907353795,Jun,2014,6
133,151,3230,3277,0.04466134279798876,0.03900293255131965,117,0.016936884771279675,Jun,2014,0
1499,79,28310,26779,0.0027827679735108668,0.053009406605842,187,0.0032891265346325677,Jun,2014,1
984,151,12088,11174,0.012337609281804069,0.08093436420463893,199,0.008090746462839487,Jun,2014,2
175,99,4673,4626,0.020746018440905283,0.03645073942928557,83,0.0085956917978459,Jun,2014,3
126,205,3100,3292,0.06202723146747353,0.03686366296079579,185,0.026780544296467864,Jun,2014,4
2599,3459,32710,33557,0.09563438303519589,0.07188295165394402,49,0.0006770387155608367,Jun,2014,5
129,221,3222,3320,0.06418820795817601,0.03740214554943462,16,0.0023161551823972205,Jun,2014,6
