fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
151,94,2960,2967,0.03077930582842174,0.04842847979474022,144,0.022799240025332488,Mar,2014,0
132,222,2290,2365,0.08837579617834394,0.05286343612334802,107,0.0209147771696638,Mar,2014,1
38,4,1033,994,0.003857280617164899,0.03682170542635659,43,0.020359848484848484,Mar,2014,2
105,50,2583,2829,0.0189897455374098,0.03578732106339468,449,0.07463430851063829,Mar,2014,3
164,287,2943,3423,0.08885448916408668,0.045720657931419016,573,0.07753721244925575,Mar,2014,4
160,12,3393,3127,0.003524229074889868,0.048676604806814724,152,0.022209234365867914,Mar,2014,5
86,10,1803,1680,0.005515719801434087,0.04869762174405436,67,0.018376302797586397,Mar,2014,6
118,90,2847,2895,0.030643513789581207,0.039163624294722865,366,0.05794806839772008,Mar,2014,0
97,232,2204,2338,0.09523809523809523,0.03983572895277208,245,0.04788897576231431,Mar,2014,1
31,9,1004,975,0.008884501480750246,0.030815109343936383,93,0.04403409090909091,Mar,2014,2
91,64,2777,2789,0.022527279127067933,0.03159722222222222,295,0.049035904255319146,Mar,2014,3
159,61,3218,3377,0.018603232692894173,0.04496606334841629,575,0.07780784844384303,Mar,2014,4
145,25,3351,3116,0.00740521327014218,0.04446488807114382,207,0.030245470485096435,Mar,2014,5
77,16,1762,1667,0.008998875140607425,0.04415137614678899,124,0.034009873834339004,Mar,2014,6
127,65,2591,2823,0.02447289156626506,0.04305084745762712,410,0.06815159574468085,Mar,2014,0
85,170,1205,1347,0.12363636363636364,0.05935754189944134,123,0.041979522184300344,Mar,2014,1
240,290,5557,5779,0.049598084487771504,0.03987373317826882,428,0.034813730274930864,Mar,2014,2
254,183,5806,5741,0.03055601936884288,0.042368640533778146,310,0.025215552301935902,Mar,2014,3
88,12,1801,1691,0.006618863761720904,0.04946599213041034,54,0.014810751508502468,Mar,2014,4
172,79,3066,2926,0.025119236883942766,0.05551969012265978,73,0.01155794806839772,Mar,2014,5
164,398,3760,4233,0.09571909571909572,0.03729815783488742,421,0.046902852049910876,Mar,2014,6
118,94,2883,2928,0.031575411488075245,0.038739330269205514,293,0.046390120329322354,Mar,2014,0
100,229,2212,2365,0.09381401065137239,0.04056795131845842,210,0.04104769351055512,Mar,2014,1
36,9,997,981,0.008946322067594433,0.035398230088495575,89,0.04214015151515151,Mar,2014,2
96,68,2780,2813,0.023876404494382022,0.03300103128222757,259,0.04305186170212766,Mar,2014,3
169,62,3216,3402,0.018913971934106162,0.047325679081489776,541,0.07320703653585926,Mar,2014,4
172,23,3348,3152,0.006822901216256304,0.05174488567990373,149,0.021770894213909993,Mar,2014,5
85,14,1755,1686,0.00791407574901074,0.04799548277809147,106,0.029072956664838178,Mar,2014,6
146,85,2963,2944,0.02788713910761155,0.04724919093851133,178,0.02818239392020266,Mar,2014,0
113,219,2283,2361,0.08752997601918465,0.045675020210185935,140,0.027365129007036748,Mar,2014,1
32,5,1033,994,0.004816955684007707,0.031189083820662766,48,0.022727272727272728,Mar,2014,2
107,47,2875,2826,0.016084873374401096,0.036481418342993524,161,0.026761968085106384,Mar,2014,3
201,292,3371,3392,0.07971607971607972,0.05594210965766769,134,0.018132611637347768,Mar,2014,4
163,11,3391,3127,0.003233392122281011,0.049544072948328265,152,0.022209234365867914,Mar,2014,5
83,12,1796,1680,0.00663716814159292,0.047078842881452074,75,0.02057048820625343,Mar,2014,6
