fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
120,77,3750,3754,0.020120198588973084,0.030975735673722252,137,0.01747894871140597,May,2014,0
76,792,2451,3087,0.24421831637372804,0.02402782168827063,114,0.017484662576687116,May,2014,1
168,103,5326,5263,0.01897218640633634,0.03093352973669674,194,0.017550208069477113,May,2014,2
553,14102,2136,15695,0.8684567064909472,0.03403495814869523,338,0.010297343407262979,May,2014,3
153,175,4695,4694,0.03593429158110883,0.03156591706210027,53,0.0054247697031729785,May,2014,4
109,790,2454,3140,0.2435265104808878,0.033548784241305016,27,0.004141104294478528,May,2014,5
190,47,3811,3665,0.012182477967858995,0.04928664072632944,17,0.0021992238033635187,May,2014,6
83,156,3115,3676,0.04769183735860593,0.022080340516094706,808,0.10308752232712427,May,2014,0
59,836,2203,3063,0.2750904902928595,0.01889814221652787,359,0.055061349693251535,May,2014,1
128,100,5064,5135,0.019364833462432222,0.024320729621888658,627,0.05672154876062964,May,2014,2
357,1709,1867,15673,0.4779082774049217,0.0222707423580786,13218,0.40269315135266875,May,2014,3
90,357,4276,4590,0.07705590330239585,0.019230769230769232,457,0.046775844421699075,May,2014,4
59,836,2203,3063,0.2750904902928595,0.01889814221652787,359,0.055061349693251535,May,2014,5
106,124,3559,3568,0.03366820526744502,0.02885138813282526,373,0.04825355756791721,May,2014,6
89,807,2380,3114,0.25321619077502355,0.02778645020293475,130,0.019938650306748466,May,2014,0
202,64,5409,5278,0.011693769413484378,0.03686131386861314,101,0.009136963994933961,May,2014,1
170,108,3737,3625,0.02808842652795839,0.04479578392621871,90,0.01164294954721863,May,2014,2
541,20,14932,14224,0.001337613697164259,0.03664070436843887,295,0.009829401572704252,May,2014,3
180,107,3742,3622,0.027799428422967003,0.04734350341925302,79,0.010219922380336352,May,2014,4
236,27,3871,3641,0.006926629040533607,0.06087180809904565,63,0.008037764735902016,May,2014,5
585,1615,14793,15822,0.0984275962944905,0.03565551289083928,9,0.0002741896173531562,May,2014,6
104,157,3430,3743,0.04376916643434625,0.02703405250844814,404,0.051543761163562136,May,2014,0
69,831,2217,3121,0.27263779527559057,0.021630094043887146,282,0.04325153374233129,May,2014,1
154,102,5169,5267,0.01935116676152533,0.028408042796532005,362,0.032748326397684095,May,2014,2
381,14246,1876,15756,0.8836372658479097,0.023610336493772078,565,0.017213014867170362,May,2014,3
97,359,4256,4685,0.07778981581798483,0.020284399832705982,373,0.038178096212896626,May,2014,4
63,831,2209,3105,0.2733552631578947,0.019886363636363636,312,0.04785276073619632,May,2014,5
113,125,3547,3654,0.03404139433551198,0.02999734536766658,291,0.03764553686934023,May,2014,6
122,70,3733,3738,0.018406521167499343,0.031606217616580314,175,0.02232712426639449,May,2014,0
77,811,2413,3088,0.25155086848635233,0.024328593996840443,131,0.0200920245398773,May,2014,1
171,134,5230,5216,0.024981357196122298,0.03174308520512344,303,0.027410891984801882,May,2014,2
482,14126,2206,15623,0.8649277492040166,0.02992859360447066,387,0.011790153546185718,May,2014,3
132,27,4686,4671,0.005728835136855506,0.027482823235477825,254,0.025997952917093142,May,2014,4
83,792,2398,3103,0.2482758620689655,0.026051475204017578,144,0.022085889570552148,May,2014,5
166,54,3763,3667,0.01414723604925334,0.04330811374902165,80,0.01034928848641656,May,2014,6
