fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
3901,1331,84126,81025,0.015575084545443908,0.04593410734050821,577,0.003375058493214787,Nov,2014,0
238,114,5863,5748,0.019073113602141544,0.039759438690277316,93,0.007714001327140013,Nov,2014,1
6671,653,70160,64105,0.009221470633923149,0.09425511472815644,61,0.000430638898693964,Nov,2014,2
3312,37,54937,51324,0.0006730454396623859,0.06061937184274105,346,0.003146713230746844,Nov,2014,3
2918,769,70052,67905,0.010858361220541929,0.04120130466091524,6,4.235792446170138e-05,Nov,2014,4
1203,672,24120,23501,0.027105517909002903,0.04869656735751295,198,0.003984384432728297,Nov,2014,5
691,29,13468,12739,0.002148625620508261,0.05145197319434103,85,0.0031467495927735823,Nov,2014,6
2378,504,83252,79071,0.00601747934476336,0.0291961841152132,5755,0.03366284510996724,Nov,2014,0
134,227,5338,5629,0.04079065588499551,0.02325177858754121,728,0.06038487060384871,Nov,2014,1
2162,820,65463,65990,0.012371196234328561,0.03172320694917244,7215,0.0509354041651959,Nov,2014,2
2138,372,53588,50193,0.006893995552260934,0.04085532475970266,3665,0.0333315144239514,Nov,2014,3
2162,820,65463,65990,0.012371196234328561,0.03172320694917244,7215,0.0509354041651959,Nov,2014,4
748,749,8834,22822,0.07815924032140248,0.03173525668222316,16541,0.332857085362418,Nov,2014,5
432,232,12885,12469,0.017686971106198063,0.033485776296411134,994,0.03679845994372871,Nov,2014,6
695,19,13480,12808,0.0014075116675309283,0.051470043693993925,10,0.0003702058344439508,Nov,2014,0
520,2729,5893,8093,0.3165158895847831,0.06037385347730175,61,0.003526827012025902,Nov,2014,1
1992,189,38544,36680,0.004879560065060801,0.05151013653289201,99,0.0012773534269199009,Nov,2014,2
282,26,6026,5769,0.004296100462656973,0.0466038671294001,13,0.001072961373390558,Nov,2014,3
1985,198,38534,36631,0.005112052049984509,0.05140356328982805,156,0.002012799339388935,Nov,2014,4
4212,887,48541,45164,0.017945294165250467,0.08530460142579391,70,0.0007079717620405769,Nov,2014,5
406,376,8242,8219,0.04362961243908099,0.04707246376811594,9,0.0005216786459540923,Nov,2014,6
2742,1365,82680,80662,0.016241299303944315,0.03287612104935015,3511,0.020536967711745437,Nov,2014,0
163,120,4516,5718,0.025884383088869714,0.027716374766196226,1539,0.1276542800265428,Nov,2014,1
2234,830,69267,67652,0.0118407349815256,0.0319663451907392,1667,0.011768443346276032,Nov,2014,2
2451,275,52324,51082,0.005228236278256241,0.04578484299404106,3824,0.0347775473825894,Nov,2014,3
2701,619,70094,66675,0.008753694511617383,0.0389327721402214,1561,0.011020120014119308,Nov,2014,4
951,704,23036,23372,0.02965459140690817,0.03909879537885952,1631,0.03282086368575683,Nov,2014,5
535,29,13420,12651,0.0021562941482638114,0.040573335355680265,377,0.013956759958536947,Nov,2014,6
3900,1292,84184,81256,0.015115354017501989,0.04579829959133825,328,0.001918577445016378,Nov,2014,0
242,18,6000,5763,0.0029910269192422734,0.04029975020815987,33,0.002737226277372263,Nov,2014,1
3266,637,70165,67320,0.00899692099093246,0.046269798543620545,262,0.00184962936816096,Nov,2014,2
3264,26,54949,51474,0.0004729422464756708,0.05962950783733421,243,0.0022099748990505293,Nov,2014,3
3345,638,70163,67242,0.00901117215858533,0.04738832929576268,262,0.00184962936816096,Nov,2014,4
1232,668,24165,23514,0.026899689928723877,0.04978582397155096,115,0.002314162675574516,Nov,2014,5
736,21,13483,12704,0.0015550947867298578,0.05476190476190476,68,0.0025173996742188657,Nov,2014,6
