fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
202,139,4133,4062,0.0325374531835206,0.0473733583489681,18,0.002104278700023381,Oct,2014,0
199,953,3406,4160,0.21862812571690754,0.04565267263133746,0,0.0,Oct,2014,1
7542,335,88726,81553,0.0037614668597927264,0.08465121499522982,48,0.0002693542232497587,Oct,2014,2
538,74,5646,5198,0.012937062937062937,0.09379358437935843,18,0.0015687641624542443,Oct,2014,3
853,84,7891,7122,0.010532915360501568,0.10695924764890283,52,0.0032495938007749033,Oct,2014,4
554,127,4647,4224,0.02660242982823628,0.11594809543742152,4,0.0004185851820845542,Oct,2014,5
202,1013,3207,4153,0.24004739336492892,0.04638346727898967,143,0.016402844689148887,Oct,2014,6
97,223,3542,3990,0.05922974767596281,0.02373379006606313,702,0.08206686930091185,Oct,2014,0
125,921,2538,4081,0.2662619254119688,0.029719448407037566,1053,0.12078458362009635,Oct,2014,1
2187,703,85254,83339,0.008178507858580453,0.025571171339709563,6721,0.037715202801283924,Oct,2014,2
148,204,5058,5339,0.03876852907639681,0.02697284490614179,725,0.06318633432107373,Oct,2014,3
210,251,7382,7445,0.032883532031966464,0.027433050293925537,714,0.04461942257217848,Oct,2014,4
115,86,4395,4457,0.019192144610577996,0.025153105861767278,503,0.052637086647132694,Oct,2014,5
125,921,2538,4081,0.2662619254119688,0.029719448407037566,1053,0.12078458362009635,Oct,2014,6
179,126,4290,4237,0.028532608695652172,0.04053442028985507,90,0.010087424344317418,Oct,2014,0
3423,1702,84821,83063,0.019671070120083678,0.03957866012996323,55,0.0003178015069569639,Oct,2014,1
233,88,4275,4128,0.020169608067843226,0.05342811281816097,6,0.0006872852233676976,Oct,2014,2
255,30,5703,5458,0.0052328623757195184,0.04463504288464905,28,0.002440299808262158,Oct,2014,3
182,126,4302,4269,0.028455284552845527,0.04088968771062682,43,0.004819547186729433,Oct,2014,4
182,126,4302,4246,0.028455284552845527,0.04110207768744354,66,0.007397444519166106,Oct,2014,5
318,9,6004,5652,0.0014967570264427074,0.053266331658291456,47,0.003906899418121363,Oct,2014,6
113,192,3793,4076,0.04818067754077792,0.026975411792790643,380,0.04442366144493804,Oct,2014,0
134,1097,3158,4166,0.25781433607520565,0.031162790697674417,163,0.018696948841477403,Oct,2014,1
2469,2061,85966,84856,0.023413270928237927,0.028273690237618092,2852,0.01600413009808983,Oct,2014,2
165,107,5088,5428,0.02059672762271415,0.029501162166994457,686,0.05978734530242287,Oct,2014,3
262,141,7283,7550,0.018992456896551723,0.03353814644137225,766,0.047869016372953384,Oct,2014,4
159,115,4543,4493,0.024688707599828254,0.03417884780739467,246,0.025742988698200082,Oct,2014,5
157,1009,3299,4115,0.23421541318477251,0.036750936329588015,138,0.015829318651066758,Oct,2014,6
181,61,4204,4055,0.014302461899179367,0.04272898961284231,53,0.0061959317278466215,Oct,2014,0
190,967,3390,4130,0.22194170300665594,0.04398148148148148,41,0.004702913512273458,Oct,2014,1
3350,1812,87256,84770,0.020344006826245115,0.038016341352700864,1016,0.005701331058786559,Oct,2014,2
258,24,5708,5430,0.00418702023726448,0.04535864978902954,54,0.0047062924873627334,Oct,2014,3
350,21,7975,7589,0.0026263131565782893,0.04408615694671873,67,0.00418697662792151,Oct,2014,4
203,75,4698,4553,0.01571338780641106,0.042682926829268296,27,0.002825449979070741,Oct,2014,5
189,967,3389,4156,0.22199265381083563,0.043498273878020716,17,0.0019499885294792384,Oct,2014,6
