fp,fn,tp,tn,fnr,fpr,rejection_vote,rejection_rate,month,year,day
494,1570,13573,14648,0.10367826718615862,0.03262448817857615,15,0.0004950495049504951,Sep,2014,0
160,59,4950,4837,0.01177879816330605,0.03201921152691615,40,0.003981684252438782,Sep,2014,1
93,25,1444,1944,0.01701837985023826,0.045655375552282766,596,0.1452949780594832,Sep,2014,2
209,97,6017,5900,0.015865227347072294,0.0342118186282534,63,0.0051277877258668406,Sep,2014,3
209,97,6017,5900,0.015865227347072294,0.0342118186282534,63,0.0051277877258668406,Sep,2014,4
229,22,5845,5617,0.003749786943923641,0.03917208347588094,51,0.004335260115606936,Sep,2014,5
134,51,3100,3073,0.016185337987940335,0.04178359837854693,90,0.013957816377171216,Sep,2014,6
244,1524,10215,14347,0.12982366470738563,0.016722637242135564,3970,0.131023102310231,Sep,2014,0
95,170,3945,4820,0.041312272174969626,0.019328585961342827,1016,0.10113478001194505,Sep,2014,1
52,81,1136,1901,0.06655710764174198,0.026625704045058884,932,0.227206240858118,Sep,2014,2
138,108,5112,5755,0.020689655172413793,0.023417614118445614,1173,0.0954745238482826,Sep,2014,3
138,108,5112,5755,0.020689655172413793,0.023417614118445614,1173,0.0954745238482826,Sep,2014,4
110,82,5011,5537,0.01610053013940703,0.019479369576766426,1024,0.0870452227133628,Sep,2014,5
73,80,2674,3047,0.029048656499636893,0.023397435897435898,574,0.0890198511166253,Sep,2014,6
272,22,7944,7677,0.0027617373838814963,0.034218140646622215,25,0.0015683814303638645,Sep,2014,0
230,46,6527,6311,0.006998326487144379,0.03516281914080416,82,0.006214004243710216,Sep,2014,1
126,3,4201,4068,0.0007136060894386299,0.030042918454935622,12,0.001426872770511296,Sep,2014,2
88,12,3088,3013,0.003870967741935484,0.02837794259916156,11,0.0017707662588538314,Sep,2014,3
197,29,4496,4327,0.0064088397790055245,0.04354553492484527,3,0.0003314184710561202,Sep,2014,4
246,20,5862,5635,0.0034002040122407345,0.04182962081278694,1,8.500510030601836e-05,Sep,2014,5
88,13,3093,3016,0.004185447520927237,0.028350515463917526,2,0.0003219575016097875,Sep,2014,6
284,1534,13288,14421,0.10349480501956551,0.01931315878952737,773,0.02551155115511551,Sep,2014,0
111,192,4346,4814,0.042309387395328336,0.02253807106598985,583,0.05803304797929524,Sep,2014,1
58,91,1826,1931,0.04747000521648409,0.029160382101558573,196,0.04778156996587031,Sep,2014,2
156,129,5774,5822,0.021853294934778927,0.02609568417530947,405,0.03296434966628683,Sep,2014,3
156,126,5774,5822,0.02135593220338983,0.02609568417530947,408,0.03320853003418525,Sep,2014,4
136,117,5581,5576,0.020533520533520533,0.023809523809523808,354,0.0300918055083305,Sep,2014,5
76,228,2825,3079,0.07468064199148379,0.024088748019017434,240,0.03722084367245657,Sep,2014,6
458,1470,13641,14619,0.09728012705975779,0.030377396033693705,112,0.0036963696369636963,Sep,2014,0
163,32,4987,4844,0.006375772066148635,0.03255442380667066,20,0.001990842126219391,Sep,2014,1
90,34,2010,1957,0.016634050880626222,0.04396678065461651,11,0.002681618722574354,Sep,2014,2
222,53,6068,5902,0.008658715896095409,0.03625081645983018,41,0.0033371316946117532,Sep,2014,3
224,53,6068,5900,0.008658715896095409,0.036577400391900716,41,0.0033371316946117532,Sep,2014,4
219,21,5854,5640,0.003574468085106383,0.037378392217101895,30,0.0025501530091805507,Sep,2014,5
132,163,3057,3083,0.05062111801242236,0.04105754276827372,13,0.0020161290322580645,Sep,2014,6
