corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
14921.8571,18094.2857,513.5714,2658.8571,0.185,0.0523,6388.2857,8533.5714,0.815,0.9383,0.8814,01,2014
7616.5,9096.0,250.3333,1229.1667,0.2325,0.0567,3318.8333,4297.6667,0.7675,0.9273,0.8554,02,2014
4792.1429,5348.5714,121.2857,435.1429,0.1484,0.0442,2239.1429,2553.0,0.8516,0.9497,0.9037,03,2014
11494.4,13378.8,132.2,1752.2,0.2447,0.0205,4937.2,6557.2,0.7553,0.9734,0.8674,04,2014
11097.3333,12622.6667,170.0,1355.3333,0.2394,0.0276,4956.0,6141.3333,0.7606,0.9647,0.8665,05,2014
25552.0,34077.6,715.6,7810.0,0.3398,0.0381,9228.8,16323.2,0.6602,0.9395,0.811,06,2014
11188.4286,12678.0,176.4286,1313.1429,0.1796,0.0278,5025.8571,6162.5714,0.8204,0.9674,0.8963,07,2014
8676.6667,9465.3333,124.1667,664.5,0.1438,0.0265,4068.1667,4608.5,0.8562,0.9697,0.9149,08,2014
11325.1667,12491.0,152.5,1013.3333,0.1378,0.0263,5232.1667,6093.0,0.8622,0.9704,0.9179,09,2014
36973.1667,38751.3333,569.5,1208.6667,0.1316,0.031,18167.0,18806.1667,0.8684,0.9651,0.9187,10,2014
75794.0,85221.3333,1515.0,7912.3333,0.1971,0.0349,34698.3333,41095.6667,0.8029,0.9486,0.884,11,2014
31548.5,39245.6667,1780.5,5916.6667,0.2953,0.159,13706.1667,17842.3333,0.7047,0.866,0.7729,12,2014
