corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15250.1429,18094.2857,313.8571,2530.2857,0.1793,0.03,6516.8571,8733.2857,0.8207,0.964,0.8953,01,2014
7482.5,9096.0,173.1667,1440.3333,0.2668,0.04,3107.6667,4374.8333,0.7332,0.9446,0.8466,02,2014
4649.8571,5348.5714,85.0,613.7143,0.2198,0.0311,2060.5714,2589.2857,0.7802,0.96,0.8746,03,2014
10484.0,13378.8,88.0,2806.8,0.3826,0.014,3882.6,6601.4,0.6174,0.977,0.8017,04,2014
8956.1667,12622.6667,122.0,3544.5,0.3794,0.0198,2766.8333,6189.3333,0.6206,0.9438,0.8004,05,2014
22912.2,34077.6,497.0,10668.4,0.4236,0.0276,6370.4,16541.8,0.5764,0.9397,0.7744,06,2014
10233.0,12678.0,130.2857,2314.7143,0.3284,0.0202,4024.2857,6208.7143,0.6716,0.9692,0.8257,07,2014
8005.8333,9465.3333,86.3333,1373.1667,0.273,0.0183,3359.5,4646.3333,0.727,0.9746,0.8543,08,2014
10346.8333,12491.0,100.1667,2044.0,0.3148,0.0176,4201.5,6145.3333,0.6852,0.9746,0.8338,09,2014
23194.5,38751.3333,400.0,15156.8333,0.3783,0.0213,4218.8333,18975.6667,0.6217,0.9343,0.8002,10,2014
47627.0,85221.3333,1060.6667,36533.6667,0.735,0.0249,6077.0,41550.0,0.265,0.8409,0.6201,11,2014
22918.0,39245.6667,1373.0,14954.6667,0.6504,0.1227,4668.1667,18249.8333,0.3496,0.8183,0.6135,12,2014
