corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15160.7143,18094.2857,484.5714,2449.0,0.1781,0.0488,6598.1429,8562.5714,0.8219,0.9427,0.8866,01,2014
7558.5,9096.0,233.0,1304.5,0.2459,0.052,3243.5,4315.0,0.7541,0.9311,0.851,02,2014
4792.0,5348.5714,109.2857,447.2857,0.1501,0.0398,2227.0,2565.0,0.8499,0.9542,0.9051,03,2014
11693.0,13378.8,112.4,1573.4,0.2148,0.0174,5116.0,6577.0,0.7852,0.9783,0.8839,04,2014
11196.5,12622.6667,159.3333,1266.8333,0.2262,0.0265,5044.5,6152.0,0.7738,0.9667,0.8737,05,2014
26531.8,34077.6,764.6,6781.2,0.2938,0.0424,10257.6,16274.2,0.7062,0.9391,0.8319,06,2014
11401.2857,12678.0,162.4286,1114.2857,0.158,0.026,5224.7143,6176.5714,0.842,0.9703,0.908,07,2014
8700.8333,9465.3333,112.0,652.5,0.132,0.0238,4080.1667,4620.6667,0.868,0.9732,0.9221,08,2014
11373.1667,12491.0,153.1667,964.6667,0.1272,0.0266,5280.8333,6092.3333,0.8728,0.9704,0.9231,09,2014
37135.8333,38751.3333,573.3333,1042.1667,0.1275,0.0313,18333.5,18802.3333,0.8725,0.965,0.9206,10,2014
74210.6667,85221.3333,1604.0,9406.6667,0.2359,0.0368,33204.0,41006.6667,0.7641,0.923,0.8637,11,2014
30909.0,39245.6667,1664.3333,6672.3333,0.3049,0.1456,12950.5,17958.5,0.6951,0.8672,0.7748,12,2014
