fp,fn,tp,tn,fpr,fnr,recall,precision,accuracy,month,year
526.8571,2401.1429,6646.0,8520.2857,0.1644,0.0513,0.8356,0.9408,0.8922,01,2014
247.0,1215.1667,3332.8333,4301.0,0.2274,0.056,0.7726,0.9267,0.8583,02,2014
120.0,352.8571,2321.4286,2554.2857,0.1177,0.0438,0.8823,0.952,0.9192,03,2014
119.4,1175.8,5513.6,6570.0,0.1689,0.0186,0.8311,0.978,0.9063,04,2014
164.8333,1309.6667,5001.6667,6146.5,0.2361,0.0271,0.7639,0.9654,0.8684,05,2014
937.6,2610.8,14428.0,16101.2,0.1433,0.0507,0.8567,0.9437,0.903,06,2014
188.2857,852.5714,5486.4286,6150.7143,0.1318,0.0292,0.8682,0.9676,0.9195,07,2014
128.5,637.5,4095.1667,4604.1667,0.1306,0.0272,0.8694,0.9694,0.9211,08,2014
159.5,1391.1667,4854.3333,6086.0,0.1745,0.0275,0.8255,0.9675,0.899,09,2014
607.1667,1006.6667,18369.0,18768.5,0.132,0.0327,0.868,0.9633,0.9176,10,2014
1726.0,9292.6667,33318.0,40884.6667,0.2276,0.0395,0.7724,0.9199,0.8665,11,2014
1840.8333,6426.1667,13196.6667,17782.0,0.2848,0.1645,0.7152,0.8606,0.7754,12,2014
