clf,time_elapsed,type,month
HoeffdingTreeClassifier,60.48973766100062,train,01
LeveragingBaggingClassifier,1080.128732911,train,01
OzaBaggingClassifier,187.46168791799937,train,01
LeveragingBaggingClassifier,216.68248795200088,test,01
OzaBaggingClassifier,241.6029044529987,test,01
HoeffdingTreeClassifier,242.4754673210009,test,01
LeveragingBaggingClassifier,117.26711402799992,test,02
HoeffdingTreeClassifier,103.24900382199849,test,02
OzaBaggingClassifier,124.36375638299978,test,02
LeveragingBaggingClassifier,76.77775084799941,test,03
HoeffdingTreeClassifier,71.30965853700036,test,03
OzaBaggingClassifier,59.383140606998495,test,03
LeveragingBaggingClassifier,177.65723606900065,test,04
HoeffdingTreeClassifier,192.6692240680004,test,04
OzaBaggingClassifier,197.50048411900025,test,04
LeveragingBaggingClassifier,166.66182975000083,test,05
HoeffdingTreeClassifier,154.67090385600022,test,05
OzaBaggingClassifier,147.7569295379999,test,05
LeveragingBaggingClassifier,316.01253195500067,test,06
HoeffdingTreeClassifier,320.92862115800017,test,06
OzaBaggingClassifier,368.0102464669999,test,06
HoeffdingTreeClassifier,160.017162868,test,07
LeveragingBaggingClassifier,189.45508223700017,test,07
OzaBaggingClassifier,162.1667462330006,test,07
HoeffdingTreeClassifier,109.70561223700133,test,08
LeveragingBaggingClassifier,116.4892856890001,test,08
OzaBaggingClassifier,123.45437273300013,test,08
HoeffdingTreeClassifier,172.03897175199927,test,09
LeveragingBaggingClassifier,157.06736797700069,test,09
OzaBaggingClassifier,149.28866601399932,test,09
HoeffdingTreeClassifier,393.94513565299894,test,10
LeveragingBaggingClassifier,416.2380158630003,test,10
OzaBaggingClassifier,428.8481850750013,test,10
LeveragingBaggingClassifier,1108.1379314180012,test,11
HoeffdingTreeClassifier,1157.9463121259996,test,11
OzaBaggingClassifier,1168.4704923610007,test,11
LeveragingBaggingClassifier,450.365129490001,test,12
HoeffdingTreeClassifier,487.2395300389999,test,12
OzaBaggingClassifier,406.9842725949984,test,12
StreamVotingClassifier,1352.2282468059984,train,01
StreamVotingClassifier,218.5062649069987,test,01
StreamVotingClassifier,110.94494260900319,test,02
StreamVotingClassifier,63.489439577002486,test,03
StreamVotingClassifier,180.3399766190014,test,04
StreamVotingClassifier,145.99017127499974,test,05
StreamVotingClassifier,343.9095853029976,test,06
StreamVotingClassifier,153.16691400199852,test,07
StreamVotingClassifier,106.19926220400157,test,08
StreamVotingClassifier,155.1811056439983,test,09
StreamVotingClassifier,361.120157688998,test,10
StreamVotingClassifier,974.2555174369991,test,11
StreamVotingClassifier,400.9960753209998,test,12
