corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15087.1429,18094.2857,412.4286,2594.7143,0.1995,0.04,6452.4286,8634.7143,0.8005,0.9516,0.8803,01,2014
7715.5,9096.0,196.0,1184.5,0.2179,0.0448,3363.5,4352.0,0.7821,0.944,0.8686,02,2014
5115.0,5348.5714,127.7143,105.8571,0.0327,0.046,2568.4286,2546.5714,0.9673,0.9545,0.9606,03,2014
12198.2,13378.8,160.6,1020.0,0.1314,0.0253,5669.4,6528.8,0.8686,0.9717,0.9216,04,2014
11874.6667,12622.6667,254.3333,493.6667,0.0759,0.0411,5817.6667,6057.0,0.9241,0.9575,0.9415,05,2014
32838.2,34077.6,1204.4,35.0,0.0037,0.065,17003.8,15834.4,0.9963,0.939,0.9656,06,2014
12247.5714,12678.0,207.1429,223.2857,0.0426,0.0324,6115.7143,6131.8571,0.9574,0.9674,0.9625,07,2014
9118.3333,9465.3333,144.5,202.5,0.0415,0.0306,4530.1667,4588.1667,0.9585,0.9691,0.964,08,2014
12123.5,12491.0,207.5,160.0,0.0572,0.0359,6085.5,6038.0,0.9428,0.9623,0.9534,09,2014
25063.0,38751.3333,725.1667,12963.1667,0.186,0.0419,6412.5,18650.5,0.814,0.9296,0.886,10,2014
70616.1667,85221.3333,1786.8333,12818.3333,0.1534,0.0411,29792.3333,40823.8333,0.8466,0.9225,0.9027,11,2014
36454.6667,39245.6667,1804.8333,986.1667,0.094,0.1588,18636.6667,17818.0,0.906,0.8836,0.8736,12,2014
