corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
14904.4286,18094.2857,354.5714,2835.2857,0.2266,0.0355,6211.8571,8692.5714,0.7734,0.9548,0.869,01,2014
7574.5,9096.0,192.6667,1328.8333,0.2443,0.0439,3219.1667,4355.3333,0.7557,0.9407,0.8559,02,2014
5094.8571,5348.5714,104.5714,149.1429,0.0473,0.0377,2525.1429,2569.7143,0.9527,0.9618,0.9575,03,2014
11746.4,13378.8,103.2,1529.2,0.2128,0.0164,5160.2,6586.2,0.7872,0.9793,0.8854,04,2014
11949.5,12622.6667,209.3333,463.8333,0.0701,0.0339,5847.5,6102.0,0.9299,0.965,0.948,05,2014
24214.4,34077.6,742.8,9120.4,0.3207,0.0438,7918.4,16296.0,0.6793,0.9269,0.8178,06,2014
11934.7143,12678.0,217.4286,525.8571,0.0688,0.034,5813.1429,6121.5714,0.9312,0.9649,0.9486,07,2014
8992.1667,9465.3333,131.5,341.6667,0.0675,0.0276,4391.0,4601.1667,0.9325,0.9712,0.9524,08,2014
11848.0,12491.0,185.3333,457.6667,0.0441,0.0324,5787.8333,6060.1667,0.9559,0.9673,0.9618,09,2014
24820.5,38751.3333,671.8333,13259.0,0.193,0.0374,6116.6667,18703.8333,0.807,0.9313,0.8848,10,2014
82913.0,85221.3333,1800.8333,507.5,0.014,0.0415,42103.1667,40809.8333,0.986,0.9596,0.9723,11,2014
35965.8333,39245.6667,1462.6667,1817.1667,0.1549,0.1316,17805.6667,18160.1667,0.8451,0.8938,0.8568,12,2014
