corrects,samples,fp,fn,fnr,fpr,tp,tn,recall,precision,accuracy,month,year
15141.4286,18094.2857,523.7143,2429.1429,0.1721,0.0502,6618.0,8523.4286,0.8279,0.9416,0.8888,01,2014
7585.3333,9096.0,240.1667,1270.5,0.2377,0.054,3277.5,4307.8333,0.7623,0.9297,0.8541,02,2014
5024.4286,5348.5714,162.2857,161.8571,0.0503,0.0589,2512.4286,2512.0,0.9497,0.9413,0.9454,03,2014
12658.8,13378.8,153.6,566.4,0.0793,0.0239,6123.0,6535.8,0.9207,0.9746,0.9484,04,2014
11923.0,12622.6667,272.0,427.6667,0.0605,0.0437,5883.6667,6039.3333,0.9395,0.9554,0.9479,05,2014
32820.4,34077.6,1193.2,64.0,0.0061,0.0645,16974.8,15845.6,0.9939,0.9394,0.9647,06,2014
12259.5714,12678.0,216.5714,201.8571,0.0383,0.0336,6137.1429,6122.4286,0.9617,0.9664,0.964,07,2014
9210.0,9465.3333,144.3333,111.0,0.0217,0.0304,4621.6667,4588.3333,0.9783,0.9699,0.9739,08,2014
12219.6667,12491.0,189.6667,81.6667,0.0159,0.0329,6163.8333,6055.8333,0.9841,0.9676,0.9756,09,2014
25061.3333,38751.3333,771.6667,12918.3333,0.1823,0.0436,6457.3333,18604.0,0.8177,0.927,0.887,10,2014
70634.5,85221.3333,1961.5,12625.3333,0.1512,0.0448,29985.3333,40649.1667,0.8488,0.9195,0.902,11,2014
35921.1667,39245.6667,1623.6667,1700.8333,0.1584,0.1448,17922.0,17999.1667,0.8416,0.8811,0.8484,12,2014
