clf,time_elapsed,type,month
HoeffdingTreeClassifier,171.0465735809994,train,01
HoeffdingTreeClassifier,310.09738816000026,test,01
HoeffdingTreeClassifier,196.22625950500515,test,02
HoeffdingTreeClassifier,100.77703389900125,train,02
HoeffdingTreeClassifier,97.66670426399651,test,03
HoeffdingTreeClassifier,50.21544546899531,train,03
OzaBaggingClassifier,1039.2231925199958,train,01
OzaBaggingClassifier,254.58075513900258,test,01
HoeffdingTreeClassifier,392.8048125300047,test,04
OzaBaggingClassifier,154.72871045100328,test,02
HoeffdingTreeClassifier,203.9134562659965,train,04
HoeffdingTreeClassifier,535.334620737005,test,05
HoeffdingTreeClassifier,207.8193698929972,train,05
OzaBaggingClassifier,1638.1510322879985,train,02
OzaBaggingClassifier,160.10883183999977,test,03
HoeffdingTreeClassifier,1115.7829102029937,test,06
LeveragingBaggingClassifier,3393.0788965039974,train,01
LeveragingBaggingClassifier,232.22347672300384,test,01
LeveragingBaggingClassifier,146.92776901699835,test,02
HoeffdingTreeClassifier,463.2680259379995,train,06
StreamVotingClassifier,3944.491787519997,train,01
HoeffdingTreeClassifier,284.1546903799972,test,07
OzaBaggingClassifier,1070.1626434999998,train,03
StreamVotingClassifier,445.7968205599973,test,01
HoeffdingTreeClassifier,311.9843990299996,train,07
OzaBaggingClassifier,228.84290532899468,test,04
StreamVotingClassifier,281.84330532100284,test,02
HoeffdingTreeClassifier,343.0354963409991,test,08
HoeffdingTreeClassifier,185.1671580809998,train,08
HoeffdingTreeClassifier,262.1181863719976,test,09
HoeffdingTreeClassifier,198.7187206000017,train,09
LeveragingBaggingClassifier,1820.1199395990043,train,02
LeveragingBaggingClassifier,82.88057556399872,test,03
HoeffdingTreeClassifier,658.1544431300063,test,10
LeveragingBaggingClassifier,881.4251415640028,train,03
HoeffdingTreeClassifier,501.1856902180007,train,10
LeveragingBaggingClassifier,169.89436716499767,test,04
StreamVotingClassifier,2212.0761829879993,train,02
StreamVotingClassifier,217.11159591899923,test,03
OzaBaggingClassifier,2594.6299616760007,train,04
OzaBaggingClassifier,194.87666103099764,test,05
StreamVotingClassifier,1108.8459083609996,train,03
StreamVotingClassifier,379.48258362199704,test,04
HoeffdingTreeClassifier,2115.4188318540037,test,11
LeveragingBaggingClassifier,2179.5826819079957,train,04
LeveragingBaggingClassifier,207.4804897300055,test,05
OzaBaggingClassifier,2445.671558160997,train,05
HoeffdingTreeClassifier,1170.4170277730009,train,11
OzaBaggingClassifier,371.83034972599853,test,06
HoeffdingTreeClassifier,983.3329400259972,test,12
LeveragingBaggingClassifier,1989.4143871580018,train,05
LeveragingBaggingClassifier,344.1241454799965,test,06
StreamVotingClassifier,2982.0164948450038,train,04
StreamVotingClassifier,199.77225632899354,test,05
OzaBaggingClassifier,2441.539844965002,train,06
OzaBaggingClassifier,188.94032652799797,test,07
OzaBaggingClassifier,960.3464775640023,train,07
OzaBaggingClassifier,151.43150158099888,test,08
StreamVotingClassifier,2432.8085010959985,train,05
StreamVotingClassifier,544.2381654109995,test,06
OzaBaggingClassifier,861.134814310004,train,08
OzaBaggingClassifier,278.8703526440004,test,09
LeveragingBaggingClassifier,3754.512806628998,train,06
LeveragingBaggingClassifier,194.012864049997,test,07
OzaBaggingClassifier,1219.855166661997,train,09
OzaBaggingClassifier,498.1334325439966,test,10
LeveragingBaggingClassifier,1959.429142574998,train,07
LeveragingBaggingClassifier,151.36418567899818,test,08
OzaBaggingClassifier,1937.0219208100025,train,10
LeveragingBaggingClassifier,1635.8753472410026,train,08
StreamVotingClassifier,4548.749896638998,train,06
LeveragingBaggingClassifier,225.40479003600194,test,09
StreamVotingClassifier,423.88714659600373,test,07
OzaBaggingClassifier,1523.975248185001,test,11
LeveragingBaggingClassifier,2000.3853076539963,train,09
LeveragingBaggingClassifier,520.1807953699972,test,10
StreamVotingClassifier,2387.2598626649997,train,07
StreamVotingClassifier,195.46159268399788,test,08
StreamVotingClassifier,2256.3086372269972,train,08
OzaBaggingClassifier,4685.369571635005,train,11
StreamVotingClassifier,349.18968330200005,test,09
OzaBaggingClassifier,578.8071738379949,test,12
LeveragingBaggingClassifier,4135.396820410999,train,10
StreamVotingClassifier,1565.4006006769923,train,09
StreamVotingClassifier,702.0362453359994,test,10
LeveragingBaggingClassifier,1267.2776081699994,test,11
StreamVotingClassifier,4531.229114308007,train,10
StreamVotingClassifier,1822.595010303994,test,11
LeveragingBaggingClassifier,10021.87234512101,train,11
LeveragingBaggingClassifier,335.6464084209874,test,12
StreamVotingClassifier,7826.489366602007,train,11
StreamVotingClassifier,464.57130168798903,test,12
